subject,unit_name,all_topics
PROBABILITY AND STATISTICS,Descriptive statistics and methods for data science,"""Data science, Statistics Introduction, Population vs Sample, Collection of data, primary and secondary data, Type of variable: dependent and independent, Categorical and Continuous variables, Data visualization, Measures of Central tendency, Measures of Variability (spread or variance), Skewness Kurtosis"""
PROBABILITY AND STATISTICS,Correlation and Curve fitting,"""Correlation, correlation coefficient, rank correlation, regression coefficients and properties, regression lines, Method of least squares, Straight line, parabola, Exponential, Power curves"""
PROBABILITY AND STATISTICS,Probability and Distributions,"""Probability, Conditional probability and Baye’s theorem, Random variables, Discrete and Continuous random variables, Distribution function, Mathematical Expectation and Variance, Binomial, Poisson, Uniform and Normal distributions"""
PROBABILITY AND STATISTICS,Sampling Theory,"""Introduction, Population and samples, Sampling distribution of Means and Variance (definition only), Central limit theorem (without proof), Introduction to t, 2 distributions, Point and Interval estimations, Maximum error of estimate"""
PROBABILITY AND STATISTICS,Tests of Hypothesis,"""Introduction, Hypothesis, Null and Alternative Hypothesis, Type I and Type II errors, Level of significance, One tail and two-tail tests, Tests concerning one mean and two means (Large and Small samples), Tests on proportions"""
COMPUTER ORGANIZATION,Basic Structure of Computers,"""Basic Organization of Computers, Historical Perspective, Bus Structures, Data Representation: Data types, Complements, Fixed Point Representation, Floating Point Representation, Other Binary Codes, Error Detection Codes, Computer Arithmetic: Addition and Subtraction, Multiplication Algorithms, Division Algorithms"""
COMPUTER ORGANIZATION,Register Transfer Language and Microoperations,"""Register Transfer language, Register Transfer Bus and Memory Transfers, Arithmetic Micro operations, Logic Micro Operations, Shift Micro Operations, Arithmetic Logic Shift Unit, Basic Computer Organization and Design: Instruction Codes, Computer Register, Computer Instructions, Instruction Cycle, Memory – Reference Instructions, Input –Output and Interrupt, Complete Computer Description"""
COMPUTER ORGANIZATION,Central Processing Unit,"""General Register Organization, STACK Organization, Instruction Formats, Addressing Modes, Data Transfer and Manipulation, Program Control, Reduced Instruction Set Computer, Microprogrammed Control: Control Memory, Address Sequencing, Micro Program example, Design of Control Unit"""
COMPUTER ORGANIZATION,Memory Organization,"""Memory Hierarchy, Main Memory, Auxiliary Memory, Associative Memory, Cache Memory, Virtual Memory, transfer, Modes of Transfer, Priority Interrupts, Direct Memory Access"""
COMPUTER ORGANIZATION,Multi Processors,"""Introduction, Characteristics of Multiprocessors, Interconnection Structures, Inter Processor Arbitration, Pipeline: Parallel Processing, Pipelining, Instruction Pipeline, RISC Pipeline, Array Processor"""
