subject,book_title,unit_topic,sub_topics,author,published_year
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),INTRODUCTION TO MANAGERIAL ECONOMICS,"""Definition"";""Nature and scope managerial economics"";""Demand Analysis: Demand Determinants"";""Law of Demand and its exceptions""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),ELASTICITY OF DEMAND,"""Definition"";""Types"";""Measurements and significance of elasticity of demand"";""Demand forecasting"";""Factors Governing demand forecasting"";""Methods of demand forecasting (Survey methods, statistical methods, expert opinion method, test marketing, controlled experiments, judgmental approach to demand forecasting)""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),THEORY OF PRODUCTION AND COST ANALYSIS,"""Production Function Isoquants and Isocosts, MRTS, Least Cost Combination of Inputs, Cobb-Douglas Production Function, Laws of Returns, Internal and External Economies of Scale; Cost Analysis: Cost concepts, Opportunity cost, Fixed vs. Variable costs. Explicit costs vs. Implicit costs, Out of pocket costs vs. Imputed costs, Break-even Analysis (BEA)-Determination of Break-Even Point (simple problems)-Managerial Significance and limitations of BEA.""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),INTRODUCTION TO MARKETS & PRICING STRATEGIES,"""Market structure: Type of competition, Features of perfect competition, Monopoly and monopolistic competition, Price_output determination in case of perfect competition and Monopoly; Objective and policies of pricing_methods of pricing: cost plus pricing, Marginal cost pricing, sealed bid pricing, Going rate pricing, Limit pricing, Market skimming pricing, Penetration pricing, Block pricing, Bundling pricing, Peak load pricing, Cross subsidization""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),BUSINESS & NEW ECONOMIC ENVIRONMENT,"""Codes Characteristic feats & New ECONOMIC and evaluation of Sole Proprietorship, Partnership, Joint Stock Company; Public Enterprises and their types, Changing Business Environment in Post Liberalisation scenario""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),CAPITAL BUDGETING,"""Capital and its significance, Types of Capital, Estimation of Fixed and Working capital requirement Methods and sources of raising finance; Nature and scope of capital budgeting, features of capital budgeting proposals, Methods of Capital Budgeting: Payback Method, Accounting Rate of Return (ARR) and Net Present Value Method (simple problem) """,A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),INTRODUCTION TO FINANCIAL ACCOUNTING,"""Double-Entry Book Keeping, Journal, Ledger, Trial Balance- Final Accounts (Trading Account, Profit and Loss Account and Balance Sheet with simple adjustments)""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),FINANCIAL ANALYSIS THROUGH RATIOS,""" Computation, Analysis and Interpretation of Liquidity Ratios (Current Ratio and quick ratio), Activity Ratios (Inventory turnover ratio and Debtor Turnover ratio), Capital structure Ratios (Debt-Equity ratio, Interest Coverage ratio), and Profitability ratios (Gross Profit Ratio, Net Profit ratio, Operating Ratio, P/E Ratio and EPS)""",P.Vijaya Kumar,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,INTRODUCTION TO MANAGERIAL ECONOMICS,""" Definition of Managerial Economics; Characteristics and Scope-Managerial Economics and its relation with other subjects; Basic economic tools in Managerial Economics""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,DEMAND ANALYSIS,"""Meaning; Demand distinctions; Demand determinants; Law of Demand and its exceptions""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ELASTICITY OF DEMAND,"""Definition; Types of Elasticity of demand; Measurement of price elasticity of demand: Total outlay method, Point method and Arc method; Significance of Elasticity of Demand""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,DEMAND FORECASTING,"""Meaning; Factors governing demand forecasting; Methods of demand forecasting (survey of buyers' Intentions, Delphi method, Collective opinion, Analysis of Time series and Trend projections. Economic Indicators, Controlled experiments and Judgmental approach); Forecasting demand for new products; Criteria of a good forecasting method""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,THEORY OF PRODUCTION,"""Production Function-Isoquants and Isocosts, MRTS, Law of variable proportions- Law of returns to scale, Least Cost Combination of Inputs, Cobb-Douglas Production function - Economies of Scale""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,COST ANALYSIS ,"""Cost concepts, Opportunity cost, Fixed Vs Variable costs, Explicit costs Vs. Implicit costs, Out of pocket costs vs. Imputed costs, Determination of Break-Even Point (simple problems), Managerial Significance and limitations of BEP""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,"INTRODUCTION TO MARKETS, MANAGERIAL THEORIES OF THE FIRM","""Market structures: Types of competition, Features of Perfect Competition, Monopoly and Monopolistic Competition; Price-Output Determination under Perfect Competition, Monopoly, Monopolistic Competition and Oligopoly; Managerial theories of the firm-Marris and Williamson's models""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,TYPES OF INDUSTRIAL ORGANIZATION,"""Characteristic features of Industrial organization, Features and evaluation of Sole Proprietorship, Partnership, Joint Stock Company, State/Public Enterprises and their types""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,INTRODUCTION TO BUSINESS CYCLES,"""Meaning-Phases of business cycles;Features of business cycles""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,Introduction to Financial Accounting,"""Introduction to Double-entry system, Journal, Ledger, Trial Balance- Final Accounts (with simple adjustments); Limitations of Financial Statements""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,Interpretation and analysis of Financial Statement,"""Ratio Analysis"";""Liquidity ratios"";""Profitability ratios and solvency ratios"";""Preparation of changes in working capital statement and fund flow statement.""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,CAPITAL AND CAPITAL BUDGETING,"""Meaning of capital budgeting"";""Need for capital budgeting"";""Capital budgeting decisions (Examples of capital budgeting)"";""Methods of Capital Budgeting: Payback Method"";""Accounting Rate of Return (ARR)"";""IRR and Net Present Value Method (simple problems)""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Introduction to Managerial Economics,"""Nature and Scope of Managerial Economics"";""Nature of Managerial Economics"";""Scope of Managerial Economics"";""Managerial Economies an Relation with other Subjects"";""Economic Theory and Managerial Economics"";""Demand Distinctions"";""Demand Determinants""",N.Appa Rao,2013
